Initialising LIS3DH
Successfully connected to LIS3DH at address 0x18
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b1110111 to register 0x20
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10001000 to register 0x23
WRT 0b10000000 to register 0x22
WRT 0b1000 to register 0x24
WRT 0b10101 to register 0x38
WRT 0b1010000 to register 0x3A
WRT 0b1010 to register 0x3B
WRT 0b10100 to register 0x3C
WRT 0b1100100 to register 0x3D
Starting stream
X: -0.648596	Y: -0.670085	Z: -0.243223
X: -0.641758	Y: -0.682784	Z: -0.287179
X: -0.647619	Y: -0.663248	Z: -0.251038
X: -0.643712	Y: -0.679853	Z: -0.287179
X: -0.630037	Y: -0.690598	Z: -0.235409
X: -0.646642	Y: -0.683761	Z: -0.219780
X: -0.640781	Y: -0.682784	Z: -0.237363
X: -0.645665	Y: -0.686691	Z: -0.254945
X: -0.648596	Y: -0.670085	Z: -0.243223
X: -0.652503	Y: -0.686691	Z: -0.275458
X: -0.657387	Y: -0.683761	Z: -0.244200
X: -0.648596	Y: -0.673016	Z: -0.253968
X: -0.644689	Y: -0.682784	Z: -0.234432
X: -0.660317	Y: -0.690598	Z: -0.259829
X: -0.651526	Y: -0.691575	Z: -0.254945
X: -0.642735	Y: -0.678877	Z: -0.224664
X: -0.648596	Y: -0.681807	Z: -0.208059
X: -0.634921	Y: -0.688645	Z: -0.241270
X: -0.650549	Y: -0.688645	Z: -0.272527
X: -0.651526	Y: -0.679853	Z: -0.227595
X: -0.593895	Y: -0.649573	Z: -0.320391
X: -0.652503	Y: -0.658364	Z: -0.257875
X: -0.650549	Y: -0.677900	Z: -0.138706
X: -0.651526	Y: -0.710134	Z: -0.299878
X: -0.648596	Y: -0.675946	Z: -0.218803
X: -0.660317	Y: -0.683761	Z: -0.285226
X: -0.636874	Y: -0.688645	Z: -0.210989
X: -0.648596	Y: -0.680830	Z: -0.249084
X: -0.642735	Y: -0.682784	Z: -0.219780
X: -0.644689	Y: -0.676923	Z: -0.253968
X: -0.654457	Y: -0.671062	Z: -0.235409
X: -0.651526	Y: -0.674969	Z: -0.230525
X: -0.634921	Y: -0.686691	Z: -0.231502
X: -0.644689	Y: -0.677900	Z: -0.246154
X: -0.649573	Y: -0.685714	Z: -0.246154
X: -0.645665	Y: -0.683761	Z: -0.262759
X: -0.650549	Y: -0.693529	Z: -0.259829
X: -0.643712	Y: -0.686691	Z: -0.214896
X: -0.642735	Y: -0.690598	Z: -0.255922
X: -0.646642	Y: -0.685714	Z: -0.235409
X: -0.653480	Y: -0.682784	Z: -0.226618
X: -0.653480	Y: -0.679853	Z: -0.228571
X: -0.649573	Y: -0.682784	Z: -0.224664
X: -0.645665	Y: -0.676923	Z: -0.239316
X: -0.649573	Y: -0.676923	Z: -0.213919
X: -0.651526	Y: -0.676923	Z: -0.255922
X: -0.650549	Y: -0.673993	Z: -0.225641
